time,exchange,symbol,amount,volume,number_trades,amount_buy,volume_buy,number_trades_buy
2022-11-01T00:00:00.000000,binance,BTCUSDT,707.224119999996,14487265.760317804,11922,303.325460000001,6213936.055736181,5598
2022-11-01T00:01:00.000000,binance,BTCUSDT,482.82758000000024,9882392.329139566,10982,234.13333999999975,4792337.0854277825,5320
2022-11-01T00:02:00.000000,binance,BTCUSDT,818.9888800000015,16766591.443272626,14016,404.5549400000011,8282702.879462171,7020
2022-11-01T00:03:00.000000,binance,BTCUSDT,694.1243400000025,14207466.101289863,15804,338.9435200000019,6937846.2652464155,7752
2022-11-01T00:04:00.000000,binance,BTCUSDT,429.6554000000003,8797165.656028403,10522,202.63264000000123,4149025.9999824157,5708
2022-11-01T00:05:00.000000,binance,BTCUSDT,514.7045400000022,10535074.4688892,10754,242.89208000000016,4971575.8567444,4844
2022-11-01T00:06:00.000000,binance,BTCUSDT,472.35408000000336,9663821.250034183,9270,220.16804000000047,4504443.961366192,4480
2022-11-01T00:07:00.000000,binance,BTCUSDT,361.6078000000018,7399871.435085797,9190,165.86992000000012,3394432.0393685885,4482
2022-11-01T00:08:00.000000,binance,BTCUSDT,344.7487200000021,7055614.646179386,7834,176.72204000000085,3616830.4545247927,4292
2022-11-01T00:09:00.000000,binance,BTCUSDT,206.51242000000107,4227274.832733787,5966,115.95571999999966,2373613.6696334034,3158
2022-11-01T00:10:00.000000,binance,BTCUSDT,271.27094000000176,5552641.767080001,6526,132.4436799999998,2711070.136991198,3422
2022-11-01T00:11:00.000000,binance,BTCUSDT,207.00422000000117,4237638.190557204,6000,98.4773599999998,2015990.0192122008,2824
2022-11-01T00:12:00.000000,binance,BTCUSDT,799.930460000008,16386817.890904585,13568,452.79560000000214,9276220.369476983,7790
2022-11-01T00:13:00.000000,binance,BTCUSDT,570.6572400000065,11696677.306159891,11360,276.0424600000005,5658141.682154826,5742
2022-11-01T00:14:00.000000,binance,BTCUSDT,302.01674000000264,6188099.631856378,7084,135.2066400000004,2770344.8587874,3336
2022-11-01T00:15:00.000000,binance,BTCUSDT,496.4707600000011,10171804.069783995,10248,255.5307800000016,5235528.245888214,5228
2022-11-01T00:16:00.000000,binance,BTCUSDT,325.56488000000394,6671008.875441208,7448,180.30540000000076,3694619.691101599,3834
2022-11-01T00:17:00.000000,binance,BTCUSDT,399.33186000000114,8179109.666749997,7498,208.1872000000001,4264181.493985407,3548
2022-11-01T00:18:00.000000,binance,BTCUSDT,218.49748000000116,4475189.010916403,6528,91.07234000000004,1865338.5850852022,2914
2022-11-01T00:19:00.000000,binance,BTCUSDT,136.8839399999994,2803089.510246395,4352,71.42760000000001,1462711.623638395,2100
2022-11-01T00:20:00.000000,binance,BTCUSDT,275.08762000000206,5633857.284586599,7664,158.2249400000003,3240532.25757421,4092
2022-11-01T00:21:00.000000,binance,BTCUSDT,178.5149400000005,3656200.837173212,4854,113.51892000000034,2325042.9011107995,2270
2022-11-01T00:22:00.000000,binance,BTCUSDT,212.53084000000058,4352193.549421611,5902,115.45101999999993,2364233.1345225987,2908
2022-11-01T00:23:00.000000,binance,BTCUSDT,113.71539999999992,2328345.4221889907,4724,50.4272800000001,1032534.9851636003,2272
2022-11-01T00:24:00.000000,binance,BTCUSDT,338.79588000000155,6936600.136833586,6688,147.41414000000032,3018425.5568408077,2948
2022-11-01T00:25:00.000000,binance,BTCUSDT,737.6811600000128,15095391.742345614,12732,330.908200000002,6771677.186244603,6010
2022-11-01T00:26:00.000000,binance,BTCUSDT,277.1944400000024,5672234.174740186,6814,133.41056000000017,2730050.8753122073,3480
2022-11-01T00:27:00.000000,binance,BTCUSDT,311.89500000000214,6383006.937081186,7128,169.04885999999985,3459747.403631397,4028
2022-11-01T00:28:00.000000,binance,BTCUSDT,666.5018199999977,13632139.451724006,12658,279.7637399999996,5721909.857209819,5746
2022-11-01T00:29:00.000000,binance,BTCUSDT,210.52084000000164,4305885.871868398,5642,86.40741999999982,1767379.4084107962,2614
2022-11-01T00:30:00.000000,binance,BTCUSDT,853.5540000000079,17477178.25225254,16924,433.6295000000032,8878583.08121981,8882
2022-11-01T00:31:00.000000,binance,BTCUSDT,438.6837599999984,8975362.567660002,10694,231.16088000000144,4729625.0678807935,5410
2022-11-01T00:32:00.000000,binance,BTCUSDT,357.97018000000276,7325529.813230412,8368,172.7440600000003,3535104.5878935987,4178
2022-11-01T00:33:00.000000,binance,BTCUSDT,274.2116400000019,5610700.702848588,7384,134.91665999999955,2760616.9052669983,3614
2022-11-01T00:34:00.000000,binance,BTCUSDT,350.6435000000008,7176341.425880999,7944,189.56676000000036,3879855.4127011993,4010
2022-11-01T00:35:00.000000,binance,BTCUSDT,323.4896000000025,6620458.443098607,7692,156.5990599999997,3205010.7575851977,3974
2022-11-01T00:36:00.000000,binance,BTCUSDT,405.0676600000016,8290677.893815599,7870,211.53112000000039,4329599.406830598,4184
2022-11-01T00:37:00.000000,binance,BTCUSDT,428.78810000000067,8779496.588890268,11036,228.05452000000113,4669548.862795789,5912
2022-11-01T00:38:00.000000,binance,BTCUSDT,577.7211399999954,11833366.384105701,14044,296.3693800000025,6070627.598276607,7312
2022-11-01T00:39:00.000000,binance,BTCUSDT,407.0890599999972,8337582.612202207,9266,210.9045200000021,4319659.032541211,4792
2022-11-01T00:40:00.000000,binance,BTCUSDT,377.03977999999796,7722278.870766196,8754,196.21098000000129,4018707.769122422,4374
2022-11-01T00:41:00.000000,binance,BTCUSDT,371.9717599999998,7618185.913920959,9166,180.04986000000065,3687668.1669286075,4774
