time,exchange,symbol,ask_amount,ask_price,bid_price,bid_amount
2022-11-01T00:00:00.000000,ftx,FTT-PERP,21.2,26.088,26.0875,19.1
2022-11-01T00:01:00.000000,ftx,FTT-PERP,197.5,26.025,26.0105,31.2
2022-11-01T00:02:00.000000,ftx,FTT-PERP,2.9,26.0275,26.0265,1.4
2022-11-01T00:03:00.000000,ftx,FTT-PERP,24.1,26.035,26.0275,130.2
2022-11-01T00:04:00.000000,ftx,FTT-PERP,21.0,26.0615,26.0575,38.9
2022-11-01T00:05:00.000000,ftx,FTT-PERP,48.3,26.0175,26.017,37.8
2022-11-01T00:06:00.000000,ftx,FTT-PERP,5.3,26.0195,26.019,62.3
2022-11-01T00:07:00.000000,ftx,FTT-PERP,21.0,26.0105,26.01,10.0
2022-11-01T00:08:00.000000,ftx,FTT-PERP,21.0,26.044,26.0435,1.8
2022-11-01T00:09:00.000000,ftx,FTT-PERP,39.4,26.0545,26.0535,67.2
2022-11-01T00:10:00.000000,ftx,FTT-PERP,15.0,26.0685,26.064,21.0
2022-11-01T00:11:00.000000,ftx,FTT-PERP,19.1,26.0515,26.0495,26.4
2022-11-01T00:12:00.000000,ftx,FTT-PERP,21.8,26.1055,26.0995,21.6
2022-11-01T00:13:00.000000,ftx,FTT-PERP,21.0,26.111,26.1045,77.0
2022-11-01T00:14:00.000000,ftx,FTT-PERP,2.5,26.087,26.083,40.1
2022-11-01T00:15:00.000000,ftx,FTT-PERP,1.8,26.091,26.086,21.9
2022-11-01T00:16:00.000000,ftx,FTT-PERP,16.7,26.104,26.1,10.0
2022-11-01T00:17:00.000000,ftx,FTT-PERP,1.3,26.095,26.0945,21.0
2022-11-01T00:18:00.000000,ftx,FTT-PERP,38.8,26.069,26.0655,21.0
2022-11-01T00:19:00.000000,ftx,FTT-PERP,21.0,26.0675,26.0655,0.3
2022-11-01T00:20:00.000000,ftx,FTT-PERP,0.9,26.081,26.0805,21.0
2022-11-01T00:21:00.000000,ftx,FTT-PERP,81.9,26.0715,26.071,0.4
2022-11-01T00:22:00.000000,ftx,FTT-PERP,23.0,26.07,26.0645,21.0
2022-11-01T00:23:00.000000,ftx,FTT-PERP,19.2,26.056,26.055,21.0
2022-11-01T00:24:00.000000,ftx,FTT-PERP,21.0,26.0365,26.0315,110.2
2022-11-01T00:25:00.000000,ftx,FTT-PERP,37.9,26.0185,26.018,0.2
2022-11-01T00:26:00.000000,ftx,FTT-PERP,12.6,26.0075,26.007,51.7
