time,exchange,symbol,amount,volume,number_trades,amount_buy,volume_buy,number_trades_buy
2022-11-01T00:00:00.000000,gate-io,ETH_USDT,252.3548000000001,396884.11911999993,240,75.78980000000003,119157.24685399998,94
2022-11-01T00:01:00.000000,gate-io,ETH_USDT,115.28640000000009,181055.71438600004,174,53.830600000000004,84535.058196,92
2022-11-01T00:02:00.000000,gate-io,ETH_USDT,33.76320000000001,53042.257915999995,108,3.1475999999999993,4946.034772000002,44
2022-11-01T00:03:00.000000,gate-io,ETH_USDT,168.85260000000017,265408.64798800007,252,132.74920000000006,208680.39970999997,132
2022-11-01T00:04:00.000000,gate-io,ETH_USDT,108.32124990000005,170323.24007079602,176,51.859200000000016,81523.83641799998,100
2022-11-01T00:05:00.000000,gate-io,ETH_USDT,174.56399999999996,274286.85691200005,124,7.996,12557.361976,22
2022-11-01T00:06:00.000000,gate-io,ETH_USDT,81.00035799999999,127134.13562688002,72,7.2984,11449.719500000001,10
2022-11-01T00:07:00.000000,gate-io,ETH_USDT,126.43060000000001,198546.26292400007,82,82.26440000000001,129192.1307,20
2022-11-01T00:08:00.000000,gate-io,ETH_USDT,100.60161732,157986.16167527885,88,35.7898,56183.60228399999,26
2022-11-01T00:09:00.000000,gate-io,ETH_USDT,40.780199999999994,64086.89799200002,52,2.2767999999999997,3578.6227980000003,12
2022-11-01T00:10:00.000000,gate-io,ETH_USDT,54.099600000000024,85005.72620800004,58,9.6012,15085.925022,20
2022-11-01T00:11:00.000000,gate-io,ETH_USDT,34.543400000000005,54281.716411999994,54,0.1592,250.182866,16
2022-11-01T00:12:00.000000,gate-io,ETH_USDT,396.7409823200002,624595.6917784655,270,222.24034800000007,349916.66787055996,148
2022-11-01T00:13:00.000000,gate-io,ETH_USDT,248.83221200000008,391921.44166576,218,136.585012,215127.90078376012,150
2022-11-01T00:14:00.000000,gate-io,ETH_USDT,47.82139999999998,75287.03845600002,98,14.491799999999998,22811.934749999993,64
2022-11-01T00:15:00.000000,gate-io,ETH_USDT,133.0336,209460.10796399988,132,22.098399999999998,34792.030834000005,60
2022-11-01T00:16:00.000000,gate-io,ETH_USDT,54.75840000000002,86218.30334,88,30.093399999999995,47387.658785999985,56
2022-11-01T00:17:00.000000,gate-io,ETH_USDT,61.88889803000001,97371.4913786684,92,56.5492,88968.11262,60
2022-11-01T00:18:00.000000,gate-io,ETH_USDT,27.425200000000018,43150.824458,76,0.6864000000000002,1079.7408820000003,22
2022-11-01T00:19:00.000000,gate-io,ETH_USDT,2.195200000000001,3452.9564600000012,128,1.2897999999999996,2028.7747760000007,92
2022-11-01T00:20:00.000000,gate-io,ETH_USDT,49.1564,77348.42448199997,114,8.0302,12634.261053999997,46
2022-11-01T00:21:00.000000,gate-io,ETH_USDT,18.391516870000004,28942.678483971507,132,2.84,4468.441693999999,72
