time,exchange,symbol,ask_amount,ask_price,bid_price,bid_amount
2022-11-01T00:00:00.000000,ftx,BTC/USD,9.0665,20475.0,20474.0,10.2284
2022-11-01T00:01:00.000000,ftx,BTC/USD,0.6168,20470.0,20469.0,4.5574
2022-11-01T00:02:00.000000,ftx,BTC/USD,4.9587,20467.0,20466.0,2.8599
2022-11-01T00:03:00.000000,ftx,BTC/USD,7.618,20477.0,20476.0,0.8342
2022-11-01T00:04:00.000000,ftx,BTC/USD,1.5178,20477.0,20476.0,5.2899
2022-11-01T00:05:00.000000,ftx,BTC/USD,3.7144,20461.0,20460.0,2.0967
2022-11-01T00:06:00.000000,ftx,BTC/USD,0.2478,20459.0,20458.0,21.9586
2022-11-01T00:07:00.000000,ftx,BTC/USD,10.0779,20458.0,20457.0,1.7805
2022-11-01T00:08:00.000000,ftx,BTC/USD,12.7792,20467.0,20466.0,1.6461
2022-11-01T00:09:00.000000,ftx,BTC/USD,8.7701,20469.0,20468.0,12.0413
2022-11-01T00:10:00.000000,ftx,BTC/USD,0.4218,20472.0,20471.0,23.5913
2022-11-01T00:11:00.000000,ftx,BTC/USD,3.4536,20469.0,20468.0,2.781
2022-11-01T00:12:00.000000,ftx,BTC/USD,12.3764,20498.0,20497.0,0.3757
2022-11-01T00:13:00.000000,ftx,BTC/USD,1.7279,20494.0,20493.0,3.3184
2022-11-01T00:14:00.000000,ftx,BTC/USD,0.8143,20487.0,20486.0,2.4223
2022-11-01T00:15:00.000000,ftx,BTC/USD,10.1758,20488.0,20487.0,0.3191
2022-11-01T00:16:00.000000,ftx,BTC/USD,27.0241,20489.0,20488.0,0.3755
2022-11-01T00:17:00.000000,ftx,BTC/USD,0.2082,20485.0,20484.0,11.8465
2022-11-01T00:18:00.000000,ftx,BTC/USD,0.7961,20477.0,20476.0,18.702
2022-11-01T00:19:00.000000,ftx,BTC/USD,2.1829,20477.0,20476.0,0.4587
2022-11-01T00:20:00.000000,ftx,BTC/USD,1.0879,20482.0,20481.0,6.7685
2022-11-01T00:21:00.000000,ftx,BTC/USD,4.3187,20483.0,20482.0,0.3284
2022-11-01T00:22:00.000000,ftx,BTC/USD,5.4322,20479.0,20478.0,0.0001
2022-11-01T00:23:00.000000,ftx,BTC/USD,0.5414,20475.0,20474.0,17.5522
2022-11-01T00:24:00.000000,ftx,BTC/USD,8.2103,20469.0,20468.0,0.0956
2022-11-01T00:25:00.000000,ftx,BTC/USD,2.4004,20462.0,20461.0,0.9101
2022-11-01T00:26:00.000000,ftx,BTC/USD,3.0201,20460.0,20459.0,4.1585
2022-11-01T00:27:00.000000,ftx,BTC/USD,0.9549,20466.0,20465.0,7.4518
2022-11-01T00:28:00.000000,ftx,BTC/USD,1.4156,20452.0,20451.0,13.6832
2022-11-01T00:29:00.000000,ftx,BTC/USD,13.9462,20451.0,20450.0,4.4413
2022-11-01T00:30:00.000000,ftx,BTC/USD,4.1693,20462.0,20461.0,8.6928
2022-11-01T00:31:00.000000,ftx,BTC/USD,0.3499,20462.0,20461.0,14.1465
2022-11-01T00:32:00.000000,ftx,BTC/USD,1.7967,20461.0,20460.0,13.6225
2022-11-01T00:33:00.000000,ftx,BTC/USD,1.2957,20460.0,20459.0,8.1146
2022-11-01T00:34:00.000000,ftx,BTC/USD,9.5598,20462.0,20461.0,0.9023
2022-11-01T00:35:00.000000,ftx,BTC/USD,12.8418,20467.0,20466.0,2.5928
2022-11-01T00:36:00.000000,ftx,BTC/USD,0.7967,20466.0,20465.0,7.378
2022-11-01T00:37:00.000000,ftx,BTC/USD,20.4296,20476.0,20475.0,0.0992
2022-11-01T00:38:00.000000,ftx,BTC/USD,1.6148,20477.0,20476.0,6.0401
2022-11-01T00:39:00.000000,ftx,BTC/USD,9.3869,20484.0,20483.0,0.1273
