Start;End;Open;High;Low;Close;Volume;Market Cap
2022-11-30;2022-12-01;69.448;72.8517;69.441;72.848;21.63070779374537;0
2022-11-29;2022-11-30;69.4445;69.448;69.4376;69.4445;13.989331079949775;0
2022-11-28;2022-11-29;69.441;69.448;69.4376;69.441;13.993490037682928;0
2022-11-27;2022-11-28;69.44104728025;69.448;69.437574707;69.4376;13.989463536250003;0
2022-11-26;2022-11-27;63.1194;69.4445198535;63.1163;69.44104728025;347.5323153884611;0
2022-11-25;2022-11-26;63.157;63.157;63.1194;63.1194;395.6291482737977;0
2022-11-24;2022-11-25;63.1602;63.1633390344;63.157;63.157;126.0078671143812;0
2022-11-23;2022-11-24;63.1602;63.1633;63.1349;63.157;126.00768368915536;0
2022-11-22;2022-11-23;63.1665;63.17281448279999;63.1475;63.1633;126.01809651692443;0
2022-11-21;2022-11-22;63.1665;63.1728;63.157;63.1665;126.01593265807657;0
2022-11-20;2022-11-21;63.1602;63.1697;63.1539;63.1633;126;0
2022-11-19;2022-11-20;63.16018055160001;63.1697;63.157;63.1633;126.01206189365729;0
2022-11-18;2022-11-19;63.1602;63.1697;63.16018055160001;63.16018055160001;126.01253309526699;0
2022-11-17;2022-11-18;63.1665;63.1728;63.1475;63.157;192.06047136758767;0
2022-11-16;2022-11-17;71.8304;71.8447;63.1602;63.1665;76.44877248821717;0
2022-11-15;2022-11-16;74.4837;74.4874;71.8304;71.8304;36.60063907711628;0
2022-11-14;2022-11-15;74.49111599160001;74.5209;74.46877200840001;74.4837;37.00827488640394;0
2022-11-13;2022-11-14;74.4911;74.5209;74.4799;74.4873919944;37.00565866868837;0
2022-11-12;2022-11-13;74.4762;74.4948;74.4688;74.4911;442.70977227347146;0
2022-11-11;2022-11-12;76.8031;76.82613969473388;66.8599;74.47249600560001;162.2225539545336;0
2022-11-10;2022-11-11;76.8146;76.8185;76.7993;76.8069;76.99694725529851;0
2022-11-09;2022-11-10;81.4833;81.4955;76.8031;76.8069;84.57502500828365;0
2022-11-08;2022-11-09;86.599;86.664;81.4874;81.4874;86.69564762448684;0
2022-11-07;2022-11-08;86.6717;86.6804;86.599;86.599;159.19373527196086;0
2022-11-06;2022-11-07;82.3573;86.6761;82.3531951675;86.6717;44.57145270269729;0
2022-11-05;2022-11-06;82.3532;82.3614317225;82.3491;82.3532;41.01022862026667;0
2022-11-04;2022-11-05;80.7579;82.3614;80.753885992;82.3532;10.847595494215858;0
2022-11-03;2022-11-04;80.766;80.766;80.753885992;80.7579;4.00093340755665;0
2022-11-02;2022-11-03;81.5096;81.5096;80.7579;80.766;4.00458795544;0
2022-11-01;2022-11-02;81.5096;81.5096;81.5096;81.5096;0;0
2022-10-31;2022-11-01;81.5096;81.5096;81.5096;81.5096;0;0
2022-10-30;2022-10-31;81.5096;81.5096;81.5096;81.5096;0;0
2022-10-29;2022-10-30;81.5096;81.5096;81.5096;81.5096;21;0
2022-10-28;2022-10-29;81.5055;81.5096;81.5055;81.5096;21;0
2022-10-27;2022-10-28;81.5055;81.5096;81.5014;81.5055;20.99091785109453;0
2022-10-26;2022-10-27;81.5055;81.5096;81.4973;81.5055;20.99564961799052;0
2022-10-25;2022-10-26;81.5055;81.5136;81.4973;81.5055;20.988443139616116;0
2022-10-24;2022-10-25;81.5096;81.5096;81.5014;81.5055;20.96648323102095;0
2022-10-23;2022-10-24;81.5055;81.5096;81.5014;81.5055;20.99509826783871;0
2022-10-22;2022-10-23;81.5014;81.5096;81.5014;81.5096;21;0
2022-10-21;2022-10-22;81.5014;81.5136;81.5014;81.5014;20.986330126443942;0
2022-10-20;2022-10-21;82.4415;82.4415;81.5014;81.5014;21;0
2022-10-19;2022-10-20;82.4415;82.4415;82.4415;82.4415;0;0
2022-10-18;2022-10-19;82.4415;82.4415;82.4415;82.4415;6;0
2022-10-17;2022-10-18;82.4457;82.4457;82.4333;82.4415;5.99834441628877;0
2022-10-16;2022-10-17;82.4374;82.4457;82.4333;82.44152753261257;5.9944884968616075;0
2022-10-15;2022-10-16;82.4457;82.4457;82.4374;82.4374;6;0
2022-10-14;2022-10-15;82.4374;82.4457;82.43328255536157;82.4457;5.996262352251209;0
2022-10-13;2022-10-14;82.4457;82.4457;82.4333;82.4374;5.998462639044775;0
2022-10-12;2022-10-13;82.4374;82.4457;82.4333;82.4374;5.99849121047317;0
2022-10-11;2022-10-12;82.4457;82.4498;82.4374;82.4415;5.999292603325689;0
2022-10-10;2022-10-11;82.7728;82.7728;82.4374;82.4457;21.22347220461702;0
2022-10-09;2022-10-10;82.7645;82.7769;82.7644984627501;82.7728;33.00734654867804;0
2022-10-08;2022-10-09;82.7686;82.7728;82.7645;82.7645;33.002686405175;0
2022-10-07;2022-10-08;82.7645;82.7728;82.7604;82.7686;33.001628534119405;0
2022-10-06;2022-10-07;82.7728;82.7728;82.7562;82.7686;33;0
2022-10-05;2022-10-06;82.7686;82.7769;82.7562;82.7728;33.001119335489584;0
2022-10-04;2022-10-05;82.7604;82.7769;82.7604;82.7686;33.00324621489091;0
2022-10-03;2022-10-04;82.7686;82.7728;82.7604;82.7604;41.27252398335961;0
