observation_date;DGS2
2022-10-03;4,12
2022-10-04;4,10
2022-10-05;4,15
2022-10-06;4,23
2022-10-07;4,30
2022-10-10;#N/A
2022-10-11;4,30
2022-10-12;4,28
2022-10-13;4,47
2022-10-14;4,48
2022-10-17;4,45
2022-10-18;4,43
2022-10-19;4,55
2022-10-20;4,62
2022-10-21;4,49
2022-10-24;4,50
2022-10-25;4,42
2022-10-26;4,39
2022-10-27;4,30
2022-10-28;4,41
2022-10-31;4,51
2022-11-01;4,54
2022-11-02;4,61
2022-11-03;4,71
2022-11-04;4,66
2022-11-07;4,72
2022-11-08;4,67
2022-11-09;4,61
2022-11-10;4,34
2022-11-11;#N/A
2022-11-14;4,40
2022-11-15;4,37
2022-11-16;4,35
2022-11-17;4,43
2022-11-18;4,51
2022-11-21;4,48
2022-11-22;4,47
2022-11-23;4,46
2022-11-24;#N/A
2022-11-25;4,42
2022-11-28;4,46
2022-11-29;4,48
2022-11-30;4,38
