observation_date;DGS30
2022-10-03;3,73
2022-10-04;3,70
2022-10-05;3,78
2022-10-06;3,81
2022-10-07;3,86
2022-10-10;#N/A
2022-10-11;3,92
2022-10-12;3,90
2022-10-13;3,97
2022-10-14;3,99
2022-10-17;4,04
2022-10-18;4,04
2022-10-19;4,15
2022-10-20;4,24
2022-10-21;4,33
2022-10-24;4,40
2022-10-25;4,26
2022-10-26;4,19
2022-10-27;4,12
2022-10-28;4,15
2022-10-31;4,22
2022-11-01;4,14
2022-11-02;4,15
2022-11-03;4,18
2022-11-04;4,27
2022-11-07;4,34
2022-11-08;4,28
2022-11-09;4,31
2022-11-10;4,03
2022-11-11;#N/A
2022-11-14;4,07
2022-11-15;3,98
2022-11-16;3,85
2022-11-17;3,89
2022-11-18;3,92
2022-11-21;3,91
2022-11-22;3,83
2022-11-23;3,74
2022-11-24;#N/A
2022-11-25;3,74
2022-11-28;3,74
2022-11-29;3,81
2022-11-30;3,80
