,time,exchange,symbol,ask_amount,ask_price,bid_price,bid_amount
0,2022-11-01T00:00:00.000000,ftx,ETH-PERP,502.935,1571.4,1571.3,81.302
1,2022-11-01T00:01:00.000000,ftx,ETH-PERP,226.376,1570.9,1570.8,67.108
2,2022-11-01T00:02:00.000000,ftx,ETH-PERP,98.413,1570.6,1570.5,123.484
3,2022-11-01T00:03:00.000000,ftx,ETH-PERP,193.69,1572.5,1572.4,24.756
4,2022-11-01T00:04:00.000000,ftx,ETH-PERP,52.076,1572.8,1572.7,191.486
5,2022-11-01T00:05:00.000000,ftx,ETH-PERP,4.363,1570.5,1570.4,152.4
6,2022-11-01T00:06:00.000000,ftx,ETH-PERP,25.345,1569.9,1569.8,147.103
7,2022-11-01T00:07:00.000000,ftx,ETH-PERP,554.891,1569.5,1569.4,6.379
8,2022-11-01T00:08:00.000000,ftx,ETH-PERP,347.446,1570.9,1570.8,32.729
9,2022-11-01T00:09:00.000000,ftx,ETH-PERP,224.683,1571.3,1571.2,15.421
10,2022-11-01T00:10:00.000000,ftx,ETH-PERP,14.934,1572.0,1571.9,322.292
11,2022-11-01T00:11:00.000000,ftx,ETH-PERP,0.109,1570.9,1570.8,308.565
12,2022-11-01T00:12:00.000000,ftx,ETH-PERP,453.997,1575.5,1575.4,0.034
13,2022-11-01T00:13:00.000000,ftx,ETH-PERP,101.958,1575.2,1575.1,508.068
14,2022-11-01T00:14:00.000000,ftx,ETH-PERP,82.588,1574.2,1574.1,137.944
15,2022-11-01T00:15:00.000000,ftx,ETH-PERP,239.041,1574.5,1574.4,7.402
16,2022-11-01T00:16:00.000000,ftx,ETH-PERP,152.472,1574.4,1574.3,168.827
17,2022-11-01T00:17:00.000000,ftx,ETH-PERP,98.341,1574.3,1574.2,367.748
18,2022-11-01T00:18:00.000000,ftx,ETH-PERP,4.139,1573.0,1572.9,629.035
19,2022-11-01T00:19:00.000000,ftx,ETH-PERP,188.681,1573.3,1573.2,2.133
20,2022-11-01T00:20:00.000000,ftx,ETH-PERP,44.475,1574.6,1574.5,503.419
21,2022-11-01T00:21:00.000000,ftx,ETH-PERP,371.116,1574.0,1573.9,33.408
22,2022-11-01T00:22:00.000000,ftx,ETH-PERP,87.571,1574.2,1574.1,170.504
23,2022-11-01T00:23:00.000000,ftx,ETH-PERP,1.989,1573.4,1573.3,601.132
24,2022-11-01T00:24:00.000000,ftx,ETH-PERP,139.021,1572.1,1572.0,38.76
25,2022-11-01T00:25:00.000000,ftx,ETH-PERP,435.46,1570.9,1570.8,6.683
26,2022-11-01T00:26:00.000000,ftx,ETH-PERP,74.223,1570.9,1570.8,187.448
27,2022-11-01T00:27:00.000000,ftx,ETH-PERP,303.931,1572.0,1571.9,58.605
28,2022-11-01T00:28:00.000000,ftx,ETH-PERP,72.359,1571.8,1571.7,90.708
29,2022-11-01T00:29:00.000000,ftx,ETH-PERP,309.287,1570.8,1570.7,101.92
30,2022-11-01T00:30:00.000000,ftx,ETH-PERP,71.03,1569.8,1569.7,264.069
31,2022-11-01T00:31:00.000000,ftx,ETH-PERP,0.03,1570.1,1570.0,646.901
32,2022-11-01T00:32:00.000000,ftx,ETH-PERP,11.038,1570.3,1570.2,647.707
33,2022-11-01T00:33:00.000000,ftx,ETH-PERP,22.885,1570.4,1570.3,326.294
34,2022-11-01T00:34:00.000000,ftx,ETH-PERP,144.135,1570.6,1570.5,28.416
35,2022-11-01T00:35:00.000000,ftx,ETH-PERP,493.306,1571.4,1571.2,0.015
36,2022-11-01T00:36:00.000000,ftx,ETH-PERP,230.856,1571.9,1571.8,45.897
37,2022-11-01T00:37:00.000000,ftx,ETH-PERP,94.443,1572.9,1572.8,55.71
38,2022-11-01T00:38:00.000000,ftx,ETH-PERP,3.94,1573.6,1573.5,423.292
39,2022-11-01T00:39:00.000000,ftx,ETH-PERP,245.783,1574.4,1574.3,27.531
40,2022-11-01T00:40:00.000000,ftx,ETH-PERP,8.15,1573.6,1573.5,604.839
41,2022-11-01T00:41:00.000000,ftx,ETH-PERP,600.17,1573.0,1572.9,88.451
42,2022-11-01T00:42:00.000000,ftx,ETH-PERP,25.898,1573.5,1573.4,181.552
43,2022-11-01T00:43:00.000000,ftx,ETH-PERP,23.225,1573.3,1573.2,197.225
44,2022-11-01T00:44:00.000000,ftx,ETH-PERP,347.733,1572.8,1572.7,53.598
45,2022-11-01T00:45:00.000000,ftx,ETH-PERP,126.718,1572.9,1572.8,97.901
46,2022-11-01T00:46:00.000000,ftx,ETH-PERP,225.947,1572.5,1572.4,28.842
47,2022-11-01T00:47:00.000000,ftx,ETH-PERP,144.616,1572.8,1572.7,122.95
48,2022-11-01T00:48:00.000000,ftx,ETH-PERP,169.469,1571.3,1571.2,97.464
49,2022-11-01T00:49:00.000000,ftx,ETH-PERP,293.749,1571.1,1571.0,51.612
50,2022-11-01T00:50:00.000000,ftx,ETH-PERP,10.013,1571.3,1571.2,332.328
51,2022-11-01T00:51:00.000000,ftx,ETH-PERP,2154.584,1571.0,1570.9,232.83
52,2022-11-01T00:52:00.000000,ftx,ETH-PERP,57.628,1570.4,1570.3,120.725
53,2022-11-01T00:53:00.000000,ftx,ETH-PERP,284.728,1570.0,1569.9,17.294
54,2022-11-01T00:54:00.000000,ftx,ETH-PERP,45.607,1570.7,1570.6,464.768
55,2022-11-01T00:55:00.000000,ftx,ETH-PERP,67.773,1570.7,1570.6,510.367
56,2022-11-01T00:56:00.000000,ftx,ETH-PERP,539.121,1569.6,1569.5,8.726
57,2022-11-01T00:57:00.000000,ftx,ETH-PERP,261.8,1569.9,1569.8,79.359
58,2022-11-01T00:58:00.000000,ftx,ETH-PERP,0.105,1570.3,1570.2,550.882
59,2022-11-01T00:59:00.000000,ftx,ETH-PERP,148.982,1569.9,1569.8,49.193
60,2022-11-01T01:00:00.000000,ftx,ETH-PERP,132.067,1570.6,1570.5,552.735
61,2022-11-01T01:01:00.000000,ftx,ETH-PERP,138.734,1569.9,1569.8,81.847
62,2022-11-01T01:02:00.000000,ftx,ETH-PERP,207.31,1569.5,1569.4,48.098
63,2022-11-01T01:03:00.000000,ftx,ETH-PERP,107.888,1570.6,1570.5,429.168
64,2022-11-01T01:04:00.000000,ftx,ETH-PERP,331.383,1570.8,1570.7,60.447
65,2022-11-01T01:05:00.000000,ftx,ETH-PERP,161.17,1571.2,1571.1,8.081
66,2022-11-01T01:06:00.000000,ftx,ETH-PERP,35.742,1570.8,1570.7,537.719
