,time,exchange,symbol,amount,volume,number_trades,amount_buy,volume_buy,number_trades_buy
55,2022-11-01T12:33:00.000000,bitstamp,SOLUSD,96.68,3190.376988,4,96.68,3190.376988,4
56,2022-11-01T12:34:00.000000,bitstamp,SOLUSD,91.88,3032.0400000000004,8,91.88,3032.0400000000004,8
57,2022-11-01T12:35:00.000000,bitstamp,SOLUSD,176.76,5837.640407999999,12,176.76,5837.640407999999,12
58,2022-11-01T12:38:00.000000,bitstamp,SOLUSD,175.12,5791.498592,6,175.12,5791.498592,6
59,2022-11-01T12:44:00.000000,bitstamp,SOLUSD,180.2,5957.89854,10,180.2,5957.89854,10
60,2022-11-01T12:48:00.000000,bitstamp,SOLUSD,180.82,5988.830727999999,8,180.82,5988.830727999999,8
61,2022-11-01T12:50:00.000000,bitstamp,SOLUSD,175.78,5820.146111999999,8,175.78,5820.146111999999,8
62,2022-11-01T12:57:00.000000,bitstamp,SOLUSD,176.56,5826.48,4,176.56,5826.48,4
63,2022-11-01T13:13:00.000000,bitstamp,SOLUSD,1.02,33.544536,2,1.02,33.544536,2
64,2022-11-01T13:35:00.000000,bitstamp,SOLUSD,10.48,345.67232,2,10.48,345.67232,2
65,2022-11-01T14:33:00.000000,bitstamp,SOLUSD,16.14,524.35927,4,16.14,524.35927,4
66,2022-11-01T16:29:00.000000,bitstamp,SOLUSD,186.0,6029.442599999999,6,186.0,6029.442599999999,6
67,2022-11-01T20:40:00.000000,bitstamp,SOLUSD,31.680000000000003,1023.244992,6,31.680000000000003,1023.244992,6
68,2022-11-01T20:50:00.000000,bitstamp,SOLUSD,34.94,1129.206992,4,34.94,1129.206992,4
69,2022-11-01T21:58:00.000000,bitstamp,SOLUSD,58.44,1892.123568,2,58.44,1892.123568,2
70,2022-11-02T00:15:00.000000,bitstamp,SOLUSD,7.279999999999999,233.195566,2,2.69,86.125999,1
71,2022-11-02T00:16:00.000000,bitstamp,SOLUSD,5.1,163.38079499999998,2,5.1,163.38079499999998,2
72,2022-11-02T00:23:00.000000,bitstamp,SOLUSD,20.0,642.3820000000001,1,20.0,642.3820000000001,1
73,2022-11-02T00:29:00.000000,bitstamp,SOLUSD,3.08,98.946174,2,3.08,98.946174,2
74,2022-11-02T00:34:00.000000,bitstamp,SOLUSD,4.8,154.10951999999995,2,4.8,154.10951999999995,2
75,2022-11-02T02:55:00.000000,bitstamp,SOLUSD,0.36,11.589624,1,0.36,11.589624,1
76,2022-11-02T05:01:00.000000,bitstamp,SOLUSD,1.26,40.767804000000005,1,1.26,40.767804000000005,1
77,2022-11-02T05:42:00.000000,bitstamp,SOLUSD,1.55,49.950145000000006,1,1.55,49.950145000000006,1
78,2022-11-02T07:31:00.000000,bitstamp,SOLUSD,233.27,7376.24068,4,0.98,31.030818,1
79,2022-11-02T08:03:00.000000,bitstamp,SOLUSD,2.06,65.336196,1,2.06,65.336196,1
80,2022-11-02T08:09:00.000000,bitstamp,SOLUSD,2.06,65.299528,1,2.06,65.299528,1
81,2022-11-02T08:17:00.000000,bitstamp,SOLUSD,16.8,531.346256,3,16.8,531.346256,3
82,2022-11-02T08:18:00.000000,bitstamp,SOLUSD,1.24,39.246248,1,1.24,39.246248,1
83,2022-11-02T08:34:00.000000,bitstamp,SOLUSD,33.5,1062.848032,2,33.5,1062.848032,2
84,2022-11-02T09:29:00.000000,bitstamp,SOLUSD,4.0,126.55876,3,2.0,63.33516,2
85,2022-11-02T09:33:00.000000,bitstamp,SOLUSD,2.98,93.757356,1,2.98,93.757356,1
