,time,exchange,symbol,amount,volume,number_trades,amount_buy,volume_buy,number_trades_buy
0,2022-09-21T00:00:00.000000,gate-io,ETH_USDT,40.69863393320002,53835.83239539065,190,10.6772339332,14128.733241390644,104
1,2022-09-21T00:01:00.000000,gate-io,ETH_USDT,93.220962,123056.48526924,222,19.350799999999992,25554.761404000004,78
2,2022-09-21T00:02:00.000000,gate-io,ETH_USDT,68.11416000000004,90006.77031,318,32.7724,43279.45607800002,156
3,2022-09-21T00:03:00.000000,gate-io,ETH_USDT,43.77060000000005,57937.89880199997,218,25.455999999999964,33704.330206,166
4,2022-09-21T00:04:00.000000,gate-io,ETH_USDT,26.125170500000014,34667.231964875,178,13.451300000000003,17846.856270999997,126
5,2022-09-21T00:05:00.000000,gate-io,ETH_USDT,28.944800000000008,38368.58491199999,174,8.807599999999997,11674.111990000005,114
6,2022-09-21T00:06:00.000000,gate-io,ETH_USDT,17.605423999999992,23336.055535360007,188,7.269624,9635.985391359998,118
7,2022-09-21T00:07:00.000000,gate-io,ETH_USDT,22.101821110000007,29293.90577975989,146,7.230999999999999,9584.520670000002,86
8,2022-09-21T00:08:00.000000,gate-io,ETH_USDT,5.288599999999998,7009.545878000002,82,3.595799999999999,4765.534677999999,56
9,2022-09-21T00:09:00.000000,gate-io,ETH_USDT,19.2418,25529.806117999997,80,2.3912000000000004,3172.7596260000005,40
10,2022-09-21T00:10:00.000000,gate-io,ETH_USDT,59.68140000000005,79378.02435400004,290,40.52979999999999,53891.78130000002,216
11,2022-09-21T00:11:00.000000,gate-io,ETH_USDT,12.681600000000005,16869.86106999999,118,5.1416,6840.782769999998,68
12,2022-09-21T00:12:00.000000,gate-io,ETH_USDT,27.91380000000001,37132.56513799998,118,9.0272,12007.261162,84
13,2022-09-21T00:13:00.000000,gate-io,ETH_USDT,9.752599999999996,12973.229002000004,68,5.980199999999999,7955.270858000001,30
14,2022-09-21T00:14:00.000000,gate-io,ETH_USDT,19.48020000000001,25892.428617999994,80,9.2924,12350.389288000002,48
15,2022-09-21T00:15:00.000000,gate-io,ETH_USDT,28.358160750000007,37666.72344349749,108,6.932799999999998,9208.543904000002,36
16,2022-09-21T00:16:00.000000,gate-io,ETH_USDT,25.57120000000002,33929.80273,152,5.717199999999997,7589.259509999999,54
17,2022-09-21T00:17:00.000000,gate-io,ETH_USDT,19.52680000000001,25834.10026199998,194,3.2104000000000013,4246.183115999999,70
18,2022-09-21T00:18:00.000000,gate-io,ETH_USDT,19.07678315999999,25238.8599416904,180,5.1822,6855.1526140000005,72
19,2022-09-21T00:19:00.000000,gate-io,ETH_USDT,147.29959999999986,195176.50026599996,220,118.2906,156727.84944,122
20,2022-09-21T00:20:00.000000,gate-io,ETH_USDT,55.98080000000008,74459.30928999999,276,18.2944,24326.22582,138
21,2022-09-21T00:21:00.000000,gate-io,ETH_USDT,67.2012,89234.420346,168,14.946000000000003,19864.029262,86
22,2022-09-21T00:22:00.000000,gate-io,ETH_USDT,11.998729660000002,15927.816831692206,82,11.4576,15209.695932,54
23,2022-09-21T00:23:00.000000,gate-io,ETH_USDT,24.783360000000005,32886.8841688,146,10.425399999999994,13830.849815999996,82
24,2022-09-21T00:24:00.000000,gate-io,ETH_USDT,25.297200000000014,33578.867525999995,134,7.469799999999999,9913.852529999998,72
25,2022-09-21T00:25:00.000000,gate-io,ETH_USDT,16.524398000000005,21931.72076569999,146,9.8642,13089.703076000003,58
26,2022-09-21T00:26:00.000000,gate-io,ETH_USDT,25.386149070000016,33717.282967220395,134,19.541599999999992,25954.979973999994,76
27,2022-09-21T00:27:00.000000,gate-io,ETH_USDT,15.773937999999996,20941.444044039992,136,6.265199999999998,8316.832879999998,46
28,2022-09-21T00:28:00.000000,gate-io,ETH_USDT,26.26684400000001,34884.68333743997,98,15.0926,20040.731679999997,44
29,2022-09-21T00:29:00.000000,gate-io,ETH_USDT,16.254922899999997,21600.676801091995,96,9.632199999999996,12802.891102,52
30,2022-09-21T00:30:00.000000,gate-io,ETH_USDT,3.5123999999999995,4670.212500000001,32,0.043,57.165156,6
31,2022-09-21T00:31:00.000000,gate-io,ETH_USDT,33.88699999999999,44994.00994999999,148,4.912999999999999,6519.351362000001,66
32,2022-09-21T00:32:00.000000,gate-io,ETH_USDT,23.068128,30633.939136960013,86,4.347672,5771.21650128,22
33,2022-09-21T00:33:00.000000,gate-io,ETH_USDT,36.72620000000004,48719.317206,136,5.513799999999998,7315.31133,62
34,2022-09-21T00:34:00.000000,gate-io,ETH_USDT,42.413800000000045,56075.52282999998,294,3.029400000000001,4004.931668000001,130
35,2022-09-21T00:35:00.000000,gate-io,ETH_USDT,32.86720000000005,43474.93775000002,260,10.452599999999991,13826.809666000005,104
36,2022-09-21T00:36:00.000000,gate-io,ETH_USDT,13.151199999999998,17409.46105,122,2.099,2779.373346,56
37,2022-09-21T00:37:00.000000,gate-io,ETH_USDT,21.480358660000004,28402.54384224059,130,14.660999999999998,19383.103847999995,82
38,2022-09-21T00:38:00.000000,gate-io,ETH_USDT,65.10420000000003,86078.35120199999,182,36.3604,48064.73135400002,94
39,2022-09-21T00:39:00.000000,gate-io,ETH_USDT,24.854600000000016,32927.97869799999,120,16.144599999999997,21388.685433999995,72
40,2022-09-21T00:40:00.000000,gate-io,ETH_USDT,27.708800000000014,36711.988576,126,0.6586,872.69235,48
41,2022-09-21T00:41:00.000000,gate-io,ETH_USDT,12.584008699999996,16678.703081065003,112,2.720600000000001,3605.685478,44
