,time,exchange,symbol,amount,volume,number_trades,amount_buy,volume_buy,number_trades_buy
0,2022-09-21T00:00:00.000000,binance-futures,ETHUSDT,8416.201999999888,11124261.48656008,6750,3117.9099999999894,4121627.635060001,3110
1,2022-09-21T00:01:00.000000,binance-futures,ETHUSDT,18977.32600000048,25020002.17578007,11064,3818.131999999978,5035468.720339995,3558
2,2022-09-21T00:02:00.000000,binance-futures,ETHUSDT,21118.148000000783,27889443.888339933,11198,15178.129999999965,20044862.87768001,7032
3,2022-09-21T00:03:00.000000,binance-futures,ETHUSDT,17957.916000000605,23769264.942099985,9428,12212.633999999964,16163761.039520042,5734
4,2022-09-21T00:04:00.000000,binance-futures,ETHUSDT,11925.818000000316,15818441.432699908,8514,7535.399999999994,9995037.35924004,5154
5,2022-09-21T00:05:00.000000,binance-futures,ETHUSDT,6807.997999999941,9020904.887720048,5792,2850.345999999975,3776267.292440003,2780
6,2022-09-21T00:06:00.000000,binance-futures,ETHUSDT,5366.8659999999445,7109607.273859991,5120,1849.3140000000064,2449976.4281400014,2370
7,2022-09-21T00:07:00.000000,binance-futures,ETHUSDT,4370.071999999942,5789068.096140036,4428,2500.536000000004,3312435.511739996,2718
8,2022-09-21T00:08:00.000000,binance-futures,ETHUSDT,3889.24999999996,5152573.101379995,3548,1915.568000000005,2537719.339859995,1876
9,2022-09-21T00:09:00.000000,binance-futures,ETHUSDT,4892.693999999954,6488230.766920016,4074,3080.2519999999786,4084701.586859997,2474
10,2022-09-21T00:10:00.000000,binance-futures,ETHUSDT,26189.34600000084,34807356.14551994,12916,15440.139999999985,20520178.49567994,8628
11,2022-09-21T00:11:00.000000,binance-futures,ETHUSDT,7697.973999999897,10233792.77720006,6634,3967.7859999999673,5274821.7319399975,3374
12,2022-09-21T00:12:00.000000,binance-futures,ETHUSDT,6271.435999999905,8338293.687559959,5454,3936.07599999998,5232989.617639996,3222
13,2022-09-21T00:13:00.000000,binance-futures,ETHUSDT,4779.107999999952,6353376.222679994,3856,1769.094000000008,2351800.891879996,1974
14,2022-09-21T00:14:00.000000,binance-futures,ETHUSDT,5721.499999999897,7599640.665060006,5004,2350.782000000004,3122517.963040004,2120
15,2022-09-21T00:15:00.000000,binance-futures,ETHUSDT,6898.235999999921,9157232.016660009,5628,2243.0140000000056,2977189.042220009,2320
16,2022-09-21T00:16:00.000000,binance-futures,ETHUSDT,11015.750000000222,14600777.204360008,7270,3536.1059999999743,4686755.189079989,2738
17,2022-09-21T00:17:00.000000,binance-futures,ETHUSDT,19347.894000000808,25567476.14438002,11484,6853.401999999969,9055680.602479989,4198
18,2022-09-21T00:18:00.000000,binance-futures,ETHUSDT,13730.090000000331,18140052.04334001,7254,8107.055999999976,10713483.091719968,4112
19,2022-09-21T00:19:00.000000,binance-futures,ETHUSDT,23002.42200000109,30481882.17813992,10074,17295.582000000064,22920393.68876001,6466
20,2022-09-21T00:20:00.000000,binance-futures,ETHUSDT,24993.576000001394,33226018.690840103,12486,15165.815999999952,20162606.07602001,6736
21,2022-09-21T00:21:00.000000,binance-futures,ETHUSDT,14071.990000000313,18678191.693139985,7864,3805.299999999977,5052736.005699999,3268
22,2022-09-21T00:22:00.000000,binance-futures,ETHUSDT,7181.313999999928,9525947.12673998,4898,3584.019999999968,4754775.287900008,2480
23,2022-09-21T00:23:00.000000,binance-futures,ETHUSDT,3146.797999999959,4172866.740579991,3414,1426.2080000000046,1891159.3383000016,1662
24,2022-09-21T00:24:00.000000,binance-futures,ETHUSDT,3802.9439999999568,5044003.960940016,3138,1940.7620000000056,2573820.3106599976,1408
25,2022-09-21T00:25:00.000000,binance-futures,ETHUSDT,4567.479999999943,6059127.347939978,4080,2506.659999999997,3325787.657320005,2398
26,2022-09-21T00:26:00.000000,binance-futures,ETHUSDT,7271.677999999928,9654451.869460003,4434,5118.553999999974,6795804.469140004,2600
27,2022-09-21T00:27:00.000000,binance-futures,ETHUSDT,4369.911999999935,5798448.909200033,3496,1783.322000000004,2366143.588639996,1564
28,2022-09-21T00:28:00.000000,binance-futures,ETHUSDT,3627.2719999999554,4816082.335299982,3638,1936.374000000004,2570908.950399997,1922
29,2022-09-21T00:29:00.000000,binance-futures,ETHUSDT,5975.585999999949,7939091.718719944,4666,3584.2119999999936,4762289.634579999,2686
30,2022-09-21T00:30:00.000000,binance-futures,ETHUSDT,4273.943999999951,5680185.35521997,3876,1717.1940000000054,2282303.898480008,1656
31,2022-09-21T00:31:00.000000,binance-futures,ETHUSDT,9108.012000000046,12084354.645840026,5948,3285.5879999999743,4357978.370319998,2330
32,2022-09-21T00:32:00.000000,binance-futures,ETHUSDT,2984.2139999999613,3961103.300499987,3482,1579.0860000000037,2095957.6203600036,1848
33,2022-09-21T00:33:00.000000,binance-futures,ETHUSDT,7830.423999999925,10380184.673479993,5422,2112.28,2801522.879139997,1852
34,2022-09-21T00:34:00.000000,binance-futures,ETHUSDT,28983.482000001342,38284923.85086011,14026,7296.911999999942,9639305.257339971,5498
35,2022-09-21T00:35:00.000000,binance-futures,ETHUSDT,18545.76800000079,24506013.005299937,9936,9452.557999999975,12492297.586980028,5478
36,2022-09-21T00:36:00.000000,binance-futures,ETHUSDT,4659.543999999941,6165123.362240029,4514,3108.6119999999933,4113266.0013200017,2462
37,2022-09-21T00:37:00.000000,binance-futures,ETHUSDT,6507.503999999926,8601738.810800012,4602,3448.832000000004,4558231.677639998,1956
38,2022-09-21T00:38:00.000000,binance-futures,ETHUSDT,6466.861999999968,8548381.878999982,5372,3764.241999999972,4976622.349019999,3430
