,market_comparison,statistic,value
68,binance/SOLUSDT - bitstamp/SOLUSD,25%,0.0
69,binance/SOLUSDT - bitstamp/SOLUSD,50%,0.0
70,binance/SOLUSDT - bitstamp/SOLUSD,75%,0.0
71,binance/SOLUSDT - bitstamp/SOLUSD,max,0.28563183205563103
72,binance/SOLUSDT - ftx/SOL-PERP,count,28799.0
73,binance/SOLUSDT - ftx/SOL-PERP,mean,-1.07730340094995e-08
74,binance/SOLUSDT - ftx/SOL-PERP,std,0.003036146587572375
75,binance/SOLUSDT - ftx/SOL-PERP,min,-0.06917213831115321
76,binance/SOLUSDT - ftx/SOL-PERP,25%,-8.512626573731197e-05
77,binance/SOLUSDT - ftx/SOL-PERP,50%,0.0
78,binance/SOLUSDT - ftx/SOL-PERP,75%,8.714724730296552e-05
79,binance/SOLUSDT - ftx/SOL-PERP,max,0.0621115708002824
80,binance/SOLUSDT - ftx/SOL/USD,count,28799.0
81,binance/SOLUSDT - ftx/SOL/USD,mean,-1.7363690570990888e-08
82,binance/SOLUSDT - ftx/SOL/USD,std,0.014357835294052983
83,binance/SOLUSDT - ftx/SOL/USD,min,-0.2775238952718211
84,binance/SOLUSDT - ftx/SOL/USD,25%,-9.6172841473674e-05
85,binance/SOLUSDT - ftx/SOL/USD,50%,0.0
86,binance/SOLUSDT - ftx/SOL/USD,75%,8.29285550176806e-05
87,binance/SOLUSDT - ftx/SOL/USD,max,0.2781988388565728
88,binance/SOLUSDT - gate-io/SOL_USDT,count,28799.0
89,binance/SOLUSDT - gate-io/SOL_USDT,mean,-5.588521109363156e-09
90,binance/SOLUSDT - gate-io/SOL_USDT,std,0.002023514789032675
91,binance/SOLUSDT - gate-io/SOL_USDT,min,-0.18099255438051376
92,binance/SOLUSDT - gate-io/SOL_USDT,25%,-0.00036154261360454854
93,binance/SOLUSDT - gate-io/SOL_USDT,50%,0.0
94,binance/SOLUSDT - gate-io/SOL_USDT,75%,0.00036029392777181535
95,binance/SOLUSDT - gate-io/SOL_USDT,max,0.18224220796708845
96,binance/SOLUSDT - okex-swap/SOL-USDT-SWAP,count,28799.0
97,binance/SOLUSDT - okex-swap/SOL-USDT-SWAP,mean,-7.731909991896349e-09
98,binance/SOLUSDT - okex-swap/SOL-USDT-SWAP,std,0.0024151997605375546
99,binance/SOLUSDT - okex-swap/SOL-USDT-SWAP,min,-0.10054512710006591
100,binance/SOLUSDT - okex-swap/SOL-USDT-SWAP,25%,-0.00030679860060289776
101,binance/SOLUSDT - okex-swap/SOL-USDT-SWAP,50%,0.0
102,binance/SOLUSDT - okex-swap/SOL-USDT-SWAP,75%,0.0003087391455107724
103,binance/SOLUSDT - okex-swap/SOL-USDT-SWAP,max,0.11160739939647968
104,binance/SOLUSDT - okex/SOL-USDT,count,28799.0
105,binance/SOLUSDT - okex/SOL-USDT,mean,-1.4963765861642855e-08
106,binance/SOLUSDT - okex/SOL-USDT,std,0.0011945378020457335
107,binance/SOLUSDT - okex/SOL-USDT,min,-0.02569032684435557
108,binance/SOLUSDT - okex/SOL-USDT,25%,-0.0003668452666987232
109,binance/SOLUSDT - okex/SOL-USDT,50%,-2.2943269843977987e-06
110,binance/SOLUSDT - okex/SOL-USDT,75%,0.0003669099839798129
111,binance/SOLUSDT - okex/SOL-USDT,max,0.022244355965796103
112,bitstamp/SOLUSD - binance-futures/SOLUSDT,count,28799.0
113,bitstamp/SOLUSD - binance-futures/SOLUSDT,mean,-4.658292608786384e-09
114,bitstamp/SOLUSD - binance-futures/SOLUSDT,std,0.009387669913081376
115,bitstamp/SOLUSD - binance-futures/SOLUSDT,min,-0.28695936389414056
116,bitstamp/SOLUSD - binance-futures/SOLUSDT,25%,-0.00028653627526376013
117,bitstamp/SOLUSD - binance-futures/SOLUSDT,50%,-1.5410649067959525e-07
118,bitstamp/SOLUSD - binance-futures/SOLUSDT,75%,0.0002840252756883821
119,bitstamp/SOLUSD - binance-futures/SOLUSDT,max,0.29081185901015205
120,bitstamp/SOLUSD - binance/SOLUSDT,count,28799.0
121,bitstamp/SOLUSD - binance/SOLUSDT,mean,0.0
122,bitstamp/SOLUSD - binance/SOLUSDT,std,0.00910481742054831
123,bitstamp/SOLUSD - binance/SOLUSDT,min,-0.28563183205563103
124,bitstamp/SOLUSD - binance/SOLUSDT,25%,0.0
125,bitstamp/SOLUSD - binance/SOLUSDT,50%,0.0
126,bitstamp/SOLUSD - binance/SOLUSDT,75%,0.0
127,bitstamp/SOLUSD - binance/SOLUSDT,max,0.28563183205563103
128,bitstamp/SOLUSD - ftx/SOL-PERP,count,28799.0
129,bitstamp/SOLUSD - ftx/SOL-PERP,mean,-1.07730340094995e-08
130,bitstamp/SOLUSD - ftx/SOL-PERP,std,0.009391241076787418
131,bitstamp/SOLUSD - ftx/SOL-PERP,min,-0.28649996591403637
132,bitstamp/SOLUSD - ftx/SOL-PERP,25%,-5.286116940528274e-05
133,bitstamp/SOLUSD - ftx/SOL-PERP,50%,0.0
134,bitstamp/SOLUSD - ftx/SOL-PERP,75%,4.9518445653040644e-05
135,bitstamp/SOLUSD - ftx/SOL-PERP,max,0.2876192144214724
136,bitstamp/SOLUSD - ftx/SOL/USD,count,28799.0
137,bitstamp/SOLUSD - ftx/SOL/USD,mean,-1.7363690570990888e-08
138,bitstamp/SOLUSD - ftx/SOL/USD,std,0.017042622745947863
139,bitstamp/SOLUSD - ftx/SOL/USD,min,-0.2877829419770821
140,bitstamp/SOLUSD - ftx/SOL/USD,25%,-6.118967582580126e-05
141,bitstamp/SOLUSD - ftx/SOL/USD,50%,0.0
142,bitstamp/SOLUSD - ftx/SOL/USD,75%,4.8699692156040086e-05
143,bitstamp/SOLUSD - ftx/SOL/USD,max,0.3464723411304935
144,bitstamp/SOLUSD - gate-io/SOL_USDT,count,28799.0
145,bitstamp/SOLUSD - gate-io/SOL_USDT,mean,-5.588521109363156e-09
146,bitstamp/SOLUSD - gate-io/SOL_USDT,std,0.00929099720310592
147,bitstamp/SOLUSD - gate-io/SOL_USDT,min,-0.2858121185140292
148,bitstamp/SOLUSD - gate-io/SOL_USDT,25%,-0.00039309872721982053
149,bitstamp/SOLUSD - gate-io/SOL_USDT,50%,0.0
150,bitstamp/SOLUSD - gate-io/SOL_USDT,75%,0.0003908411226305475
151,bitstamp/SOLUSD - gate-io/SOL_USDT,max,0.2875465902645713
152,bitstamp/SOLUSD - okex-swap/SOL-USDT-SWAP,count,28799.0
153,bitstamp/SOLUSD - okex-swap/SOL-USDT-SWAP,mean,-7.731909991896349e-09
154,bitstamp/SOLUSD - okex-swap/SOL-USDT-SWAP,std,0.009448880926960255
155,bitstamp/SOLUSD - okex-swap/SOL-USDT-SWAP,min,-0.2863343069217419
156,bitstamp/SOLUSD - okex-swap/SOL-USDT-SWAP,25%,-0.0003399648968664959
157,bitstamp/SOLUSD - okex-swap/SOL-USDT-SWAP,50%,0.0
158,bitstamp/SOLUSD - okex-swap/SOL-USDT-SWAP,75%,0.0003401595417562575
159,bitstamp/SOLUSD - okex-swap/SOL-USDT-SWAP,max,0.29094506954052646
160,bitstamp/SOLUSD - okex/SOL-USDT,count,28799.0
161,bitstamp/SOLUSD - okex/SOL-USDT,mean,-1.4963765861642855e-08
162,bitstamp/SOLUSD - okex/SOL-USDT,std,0.009165640728886973
163,bitstamp/SOLUSD - okex/SOL-USDT,min,-0.2879227970653164
164,bitstamp/SOLUSD - okex/SOL-USDT,25%,-0.0003995760300563589
165,bitstamp/SOLUSD - okex/SOL-USDT,50%,-2.5520360442676804e-06
166,bitstamp/SOLUSD - okex/SOL-USDT,75%,0.00040093431926546685
167,bitstamp/SOLUSD - okex/SOL-USDT,max,0.2889551245308679
168,ftx/SOL-PERP - binance-futures/SOLUSDT,count,28799.0
169,ftx/SOL-PERP - binance-futures/SOLUSDT,mean,6.114741400713116e-09
170,ftx/SOL-PERP - binance-futures/SOLUSDT,std,0.0032750942156112364
171,ftx/SOL-PERP - binance-futures/SOLUSDT,min,-0.06262167741782765
172,ftx/SOL-PERP - binance-futures/SOLUSDT,25%,-0.0002763735164883485
173,ftx/SOL-PERP - binance-futures/SOLUSDT,50%,-5.350561269601428e-07
174,ftx/SOL-PERP - binance-futures/SOLUSDT,75%,0.0002765846051717702
175,ftx/SOL-PERP - binance-futures/SOLUSDT,max,0.06955375642666795
176,ftx/SOL-PERP - binance/SOLUSDT,count,28799.0
177,ftx/SOL-PERP - binance/SOLUSDT,mean,1.07730340094995e-08
178,ftx/SOL-PERP - binance/SOLUSDT,std,0.003036146587572375
179,ftx/SOL-PERP - binance/SOLUSDT,min,-0.0621115708002824
180,ftx/SOL-PERP - binance/SOLUSDT,25%,-8.714724730296552e-05
181,ftx/SOL-PERP - binance/SOLUSDT,50%,0.0
182,ftx/SOL-PERP - binance/SOLUSDT,75%,8.512626573731197e-05
183,ftx/SOL-PERP - binance/SOLUSDT,max,0.06917213831115321
184,ftx/SOL-PERP - bitstamp/SOLUSD,count,28799.0
185,ftx/SOL-PERP - bitstamp/SOLUSD,mean,1.07730340094995e-08
186,ftx/SOL-PERP - bitstamp/SOLUSD,std,0.009391241076787418
187,ftx/SOL-PERP - bitstamp/SOLUSD,min,-0.2876192144214724
188,ftx/SOL-PERP - bitstamp/SOLUSD,25%,-4.9518445653040644e-05
189,ftx/SOL-PERP - bitstamp/SOLUSD,50%,0.0
190,ftx/SOL-PERP - bitstamp/SOLUSD,75%,5.286116940528274e-05
191,ftx/SOL-PERP - bitstamp/SOLUSD,max,0.28649996591403637
192,ftx/SOL-PERP - ftx/SOL/USD,count,28799.0
193,ftx/SOL-PERP - ftx/SOL/USD,mean,-6.590656561491388e-09
194,ftx/SOL-PERP - ftx/SOL/USD,std,0.014437855034975725
195,ftx/SOL-PERP - ftx/SOL/USD,min,-0.26692542727613455
196,ftx/SOL-PERP - ftx/SOL/USD,25%,-4.7016352026085784e-05
197,ftx/SOL-PERP - ftx/SOL/USD,50%,0.0
198,ftx/SOL-PERP - ftx/SOL/USD,75%,3.624839537597069e-05
199,ftx/SOL-PERP - ftx/SOL/USD,max,0.2749794546094284
200,ftx/SOL-PERP - gate-io/SOL_USDT,count,28799.0
201,ftx/SOL-PERP - gate-io/SOL_USDT,mean,5.184512900136344e-09
202,ftx/SOL-PERP - gate-io/SOL_USDT,std,0.00356008513885158
203,ftx/SOL-PERP - gate-io/SOL_USDT,min,-0.1854619978281784
204,ftx/SOL-PERP - gate-io/SOL_USDT,25%,-0.00040775409706284016
205,ftx/SOL-PERP - gate-io/SOL_USDT,50%,0.0
206,ftx/SOL-PERP - gate-io/SOL_USDT,75%,0.0003908411226305475
207,ftx/SOL-PERP - gate-io/SOL_USDT,max,0.18170610710472923
208,ftx/SOL-PERP - okex-swap/SOL-USDT-SWAP,count,28799.0
