,market_comparison,statistic,value
70,ftx/BTC-PERP - okex-swap/BTC-USDT-SWAP,75%,0.00012475579820137028
71,ftx/BTC-PERP - okex-swap/BTC-USDT-SWAP,max,0.031139457375372714
72,ftx/BTC-PERP - okex/BTC-USDT,count,28799.0
73,ftx/BTC-PERP - okex/BTC-USDT,mean,-1.5285094190789355e-08
74,ftx/BTC-PERP - okex/BTC-USDT,std,0.0008894014471080135
75,ftx/BTC-PERP - okex/BTC-USDT,min,-0.025523500173532554
76,ftx/BTC-PERP - okex/BTC-USDT,25%,-0.00014583591932293416
77,ftx/BTC-PERP - okex/BTC-USDT,50%,1.1295296999946913e-06
78,ftx/BTC-PERP - okex/BTC-USDT,75%,0.00014852265069098536
79,ftx/BTC-PERP - okex/BTC-USDT,max,0.030570207865132204
80,ftx/BTC/USD - bitstamp/BTCUSD,count,28799.0
81,ftx/BTC/USD - bitstamp/BTCUSD,mean,9.791024128715872e-09
82,ftx/BTC/USD - bitstamp/BTCUSD,std,0.0010707167765107183
83,ftx/BTC/USD - bitstamp/BTCUSD,min,-0.03300293243810515
84,ftx/BTC/USD - bitstamp/BTCUSD,25%,-2.849382898872932e-05
85,ftx/BTC/USD - bitstamp/BTCUSD,50%,0.0
86,ftx/BTC/USD - bitstamp/BTCUSD,75%,3.181204261704096e-05
87,ftx/BTC/USD - bitstamp/BTCUSD,max,0.039944192337467044
88,ftx/BTC/USD - ftx/BTC-PERP,count,28799.0
89,ftx/BTC/USD - ftx/BTC-PERP,mean,7.534430665503177e-09
90,ftx/BTC/USD - ftx/BTC-PERP,std,0.0011910823386019407
91,ftx/BTC/USD - ftx/BTC-PERP,min,-0.03516379104461187
92,ftx/BTC/USD - ftx/BTC-PERP,25%,-1.828678909632231e-05
93,ftx/BTC/USD - ftx/BTC-PERP,50%,0.0
94,ftx/BTC/USD - ftx/BTC-PERP,75%,1.6963826714011532e-05
95,ftx/BTC/USD - ftx/BTC-PERP,max,0.04150684413354533
96,ftx/BTC/USD - gate-io/BTC_USDT,count,28799.0
97,ftx/BTC/USD - gate-io/BTC_USDT,mean,-9.78884203190329e-10
98,ftx/BTC/USD - gate-io/BTC_USDT,std,0.0010836115548019404
99,ftx/BTC/USD - gate-io/BTC_USDT,min,-0.03372840827498358
100,ftx/BTC/USD - gate-io/BTC_USDT,25%,-0.00013465550220637112
101,ftx/BTC/USD - gate-io/BTC_USDT,50%,0.0
102,ftx/BTC/USD - gate-io/BTC_USDT,75%,0.00013434591301475507
103,ftx/BTC/USD - gate-io/BTC_USDT,max,0.03988966059734089
104,ftx/BTC/USD - okex-swap/BTC-USDT-SWAP,count,28799.0
105,ftx/BTC/USD - okex-swap/BTC-USDT-SWAP,mean,-5.571209186511343e-09
106,ftx/BTC/USD - okex-swap/BTC-USDT-SWAP,std,0.0010442925079666976
107,ftx/BTC/USD - okex-swap/BTC-USDT-SWAP,min,-0.03278483717966374
108,ftx/BTC/USD - okex-swap/BTC-USDT-SWAP,25%,-0.00013801744356456425
109,ftx/BTC/USD - okex-swap/BTC-USDT-SWAP,50%,0.0
110,ftx/BTC/USD - okex-swap/BTC-USDT-SWAP,75%,0.00014035885057683828
111,ftx/BTC/USD - okex-swap/BTC-USDT-SWAP,max,0.039810981078233
112,ftx/BTC/USD - okex/BTC-USDT,count,28799.0
113,ftx/BTC/USD - okex/BTC-USDT,mean,-7.750663525286178e-09
114,ftx/BTC/USD - okex/BTC-USDT,std,0.0010624475864467833
115,ftx/BTC/USD - okex/BTC-USDT,min,-0.03252412321463005
116,ftx/BTC/USD - okex/BTC-USDT,25%,-0.00015567572330343893
117,ftx/BTC/USD - okex/BTC-USDT,50%,-3.2760935653186607e-07
118,ftx/BTC/USD - okex/BTC-USDT,75%,0.00015833372458384787
119,ftx/BTC/USD - okex/BTC-USDT,max,0.03998063211287395
120,gate-io/BTC_USDT - bitstamp/BTCUSD,count,28799.0
121,gate-io/BTC_USDT - bitstamp/BTCUSD,mean,1.0769908331906201e-08
122,gate-io/BTC_USDT - bitstamp/BTCUSD,std,0.0006904214865668811
123,gate-io/BTC_USDT - bitstamp/BTCUSD,min,-0.03684314084320839
124,gate-io/BTC_USDT - bitstamp/BTCUSD,25%,-0.00014680860991855837
125,gate-io/BTC_USDT - bitstamp/BTCUSD,50%,0.0
126,gate-io/BTC_USDT - bitstamp/BTCUSD,75%,0.0001500706923858175
127,gate-io/BTC_USDT - bitstamp/BTCUSD,max,0.03443800479557346
128,gate-io/BTC_USDT - ftx/BTC-PERP,count,28799.0
