,market_comparison,statistic,value
68,binance/ETHUSDT - bitstamp/ETHUSD,25%,-0.00023979799006612623
69,binance/ETHUSDT - bitstamp/ETHUSD,50%,0.0
70,binance/ETHUSDT - bitstamp/ETHUSD,75%,0.000237199227178575
71,binance/ETHUSDT - bitstamp/ETHUSD,max,0.018827009063087097
72,binance/ETHUSDT - ftx/ETH-PERP,count,28799.0
73,binance/ETHUSDT - ftx/ETH-PERP,mean,-1.5146002785235607e-08
74,binance/ETHUSDT - ftx/ETH-PERP,std,0.0014594091925688672
75,binance/ETHUSDT - ftx/ETH-PERP,min,-0.042236058679375965
76,binance/ETHUSDT - ftx/ETH-PERP,25%,-0.00017734343111275308
77,binance/ETHUSDT - ftx/ETH-PERP,50%,0.0
78,binance/ETHUSDT - ftx/ETH-PERP,75%,0.00017717408434503312
79,binance/ETHUSDT - ftx/ETH-PERP,max,0.04079826905819495
80,binance/ETHUSDT - ftx/ETH/USD,count,28799.0
81,binance/ETHUSDT - ftx/ETH/USD,mean,8.765956026769375e-10
82,binance/ETHUSDT - ftx/ETH/USD,std,0.006561184937825237
83,binance/ETHUSDT - ftx/ETH/USD,min,-0.17349824738036368
84,binance/ETHUSDT - ftx/ETH/USD,25%,-0.0001934259824407647
85,binance/ETHUSDT - ftx/ETH/USD,50%,0.0
86,binance/ETHUSDT - ftx/ETH/USD,75%,0.0001946534935273192
87,binance/ETHUSDT - ftx/ETH/USD,max,0.17726028989910514
88,binance/ETHUSDT - gate-io/ETH_USDT,count,28799.0
89,binance/ETHUSDT - gate-io/ETH_USDT,mean,1.1244427446124987e-08
90,binance/ETHUSDT - gate-io/ETH_USDT,std,0.0012151217857632832
91,binance/ETHUSDT - gate-io/ETH_USDT,min,-0.08005494102882516
92,binance/ETHUSDT - gate-io/ETH_USDT,25%,-0.00013915127686514595
93,binance/ETHUSDT - gate-io/ETH_USDT,50%,0.0
94,binance/ETHUSDT - gate-io/ETH_USDT,75%,0.00013926629825755654
95,binance/ETHUSDT - gate-io/ETH_USDT,max,0.07958029459504345
96,binance/ETHUSDT - okex-swap/ETH-USDT-SWAP,count,28799.0
97,binance/ETHUSDT - okex-swap/ETH-USDT-SWAP,mean,-1.830874736192778e-09
98,binance/ETHUSDT - okex-swap/ETH-USDT-SWAP,std,0.000298845691412878
99,binance/ETHUSDT - okex-swap/ETH-USDT-SWAP,min,-0.005988595267423236
100,binance/ETHUSDT - okex-swap/ETH-USDT-SWAP,25%,-0.00011558990949067649
101,binance/ETHUSDT - okex-swap/ETH-USDT-SWAP,50%,0.0
102,binance/ETHUSDT - okex-swap/ETH-USDT-SWAP,75%,0.000114053449825402
103,binance/ETHUSDT - okex-swap/ETH-USDT-SWAP,max,0.006244441524223099
104,binance/ETHUSDT - okex/ETH-USDT,count,28799.0
105,binance/ETHUSDT - okex/ETH-USDT,mean,-5.177504845509977e-09
106,binance/ETHUSDT - okex/ETH-USDT,std,0.0003846465365415405
107,binance/ETHUSDT - okex/ETH-USDT,min,-0.007561237318581604
108,binance/ETHUSDT - okex/ETH-USDT,25%,-0.00015731200623703145
109,binance/ETHUSDT - okex/ETH-USDT,50%,-4.774374593452535e-07
110,binance/ETHUSDT - okex/ETH-USDT,75%,0.00015449143904833207
111,binance/ETHUSDT - okex/ETH-USDT,max,0.005792532419856222
112,bitstamp/ETHUSD - binance-futures/ETHUSDT,count,28799.0
113,bitstamp/ETHUSD - binance-futures/ETHUSDT,mean,9.25859395734203e-09
114,bitstamp/ETHUSD - binance-futures/ETHUSDT,std,0.0007999770728093188
115,bitstamp/ETHUSD - binance-futures/ETHUSDT,min,-0.018463923177219677
116,bitstamp/ETHUSD - binance-futures/ETHUSDT,25%,-0.00024968699474881006
117,bitstamp/ETHUSD - binance-futures/ETHUSDT,50%,1.9946858387243083e-07
118,bitstamp/ETHUSD - binance-futures/ETHUSDT,75%,0.00025123290165662837
119,bitstamp/ETHUSD - binance-futures/ETHUSDT,max,0.017340634011121736
120,bitstamp/ETHUSD - binance/ETHUSDT,count,28799.0
121,bitstamp/ETHUSD - binance/ETHUSDT,mean,2.2506992231066864e-09
122,bitstamp/ETHUSD - binance/ETHUSDT,std,0.0007864345957504579
123,bitstamp/ETHUSD - binance/ETHUSDT,min,-0.018827009063087097
124,bitstamp/ETHUSD - binance/ETHUSDT,25%,-0.000237199227178575
125,bitstamp/ETHUSD - binance/ETHUSDT,50%,0.0
126,bitstamp/ETHUSD - binance/ETHUSDT,75%,0.00023979799006612623
127,bitstamp/ETHUSD - binance/ETHUSDT,max,0.01642550889664207
128,bitstamp/ETHUSD - ftx/ETH-PERP,count,28799.0
129,bitstamp/ETHUSD - ftx/ETH-PERP,mean,-1.289530356212892e-08
130,bitstamp/ETHUSD - ftx/ETH-PERP,std,0.0015084212749196075
