,market_comparison,statistic,value
73,binance/FTTUSDT - gate-io/FTT_USDT,mean,1.4904850058405517e-07
74,binance/FTTUSDT - gate-io/FTT_USDT,std,0.010031575061326807
75,binance/FTTUSDT - gate-io/FTT_USDT,min,-0.36815030954008066
76,binance/FTTUSDT - gate-io/FTT_USDT,25%,-0.0007866942720995418
77,binance/FTTUSDT - gate-io/FTT_USDT,50%,4.735943086142669e-06
78,binance/FTTUSDT - gate-io/FTT_USDT,75%,0.0007714811085763884
79,binance/FTTUSDT - gate-io/FTT_USDT,max,0.3668862591794715
80,bitstamp/FTTUSD - binance-futures/FTTUSDT,count,18878.0
81,bitstamp/FTTUSD - binance-futures/FTTUSDT,mean,1.951384680971572e-06
82,bitstamp/FTTUSD - binance-futures/FTTUSDT,std,0.02294075986667257
83,bitstamp/FTTUSD - binance-futures/FTTUSDT,min,-0.786587991946055
84,bitstamp/FTTUSD - binance-futures/FTTUSDT,25%,-0.0004619806015874195
85,bitstamp/FTTUSD - binance-futures/FTTUSDT,50%,0.0
86,bitstamp/FTTUSD - binance-futures/FTTUSDT,75%,0.0004813118046870235
87,bitstamp/FTTUSD - binance-futures/FTTUSDT,max,0.7779431765451159
88,bitstamp/FTTUSD - binance/FTTUSDT,count,20393.0
89,bitstamp/FTTUSD - binance/FTTUSDT,mean,-2.068636144322149e-08
90,bitstamp/FTTUSD - binance/FTTUSDT,std,0.022479858775808496
91,bitstamp/FTTUSD - binance/FTTUSDT,min,-0.7862014917748628
92,bitstamp/FTTUSD - binance/FTTUSDT,25%,0.0
93,bitstamp/FTTUSD - binance/FTTUSDT,50%,0.0
94,bitstamp/FTTUSD - binance/FTTUSDT,75%,0.0
95,bitstamp/FTTUSD - binance/FTTUSDT,max,0.7862014917748628
96,bitstamp/FTTUSD - ftx/FTT-PERP,count,20394.0
97,bitstamp/FTTUSD - ftx/FTT-PERP,mean,1.747755234034246e-07
98,bitstamp/FTTUSD - ftx/FTT-PERP,std,0.021751460265494776
99,bitstamp/FTTUSD - ftx/FTT-PERP,min,-0.7777235189625755
100,bitstamp/FTTUSD - ftx/FTT-PERP,25%,-0.00028196615586262297
101,bitstamp/FTTUSD - ftx/FTT-PERP,50%,0.0
102,bitstamp/FTTUSD - ftx/FTT-PERP,75%,0.0002862720077581038
103,bitstamp/FTTUSD - ftx/FTT-PERP,max,0.7677947935490299
104,bitstamp/FTTUSD - ftx/FTT/USD,count,20394.0
105,bitstamp/FTTUSD - ftx/FTT/USD,mean,5.428292991710474e-08
106,bitstamp/FTTUSD - ftx/FTT/USD,std,0.022487666500054057
107,bitstamp/FTTUSD - ftx/FTT/USD,min,-0.7951123408047467
108,bitstamp/FTTUSD - ftx/FTT/USD,25%,-0.00030176020211891696
109,bitstamp/FTTUSD - ftx/FTT/USD,50%,0.0
110,bitstamp/FTTUSD - ftx/FTT/USD,75%,0.0003007958298784086
111,bitstamp/FTTUSD - ftx/FTT/USD,max,0.7908508738972846
112,bitstamp/FTTUSD - gate-io/FTT_USDT,count,20394.0
113,bitstamp/FTTUSD - gate-io/FTT_USDT,mean,-2.5915952377954233e-07
114,bitstamp/FTTUSD - gate-io/FTT_USDT,std,0.023828703067952133
