,market_comparison,Shift,Correlation
69,binance-futures/BTCUSDT - bitstamp/BTCUSD,8,-0.027824882127128643
70,binance-futures/BTCUSDT - bitstamp/BTCUSD,9,-0.01057131900516415
71,binance-futures/BTCUSDT - bitstamp/BTCUSD,10,0.013045874392250478
72,binance-futures/BTCUSDT - bitstamp/BTCUSD,11,0.020571362087748204
73,binance-futures/BTCUSDT - bitstamp/BTCUSD,12,0.013795680925447786
74,binance-futures/BTCUSDT - bitstamp/BTCUSD,13,-0.01012479444742432
75,binance-futures/BTCUSDT - bitstamp/BTCUSD,14,-0.007298525032276547
76,binance-futures/BTCUSDT - bitstamp/BTCUSD,15,0.010194806754414004
77,binance-futures/BTCUSDT - bitstamp/BTCUSD,16,0.0035377268543972124
78,binance-futures/BTCUSDT - bitstamp/BTCUSD,17,0.0032005018507859783
79,binance-futures/BTCUSDT - bitstamp/BTCUSD,18,-0.012929071951513679
80,binance-futures/BTCUSDT - bitstamp/BTCUSD,19,-0.018979893015813896
81,binance-futures/BTCUSDT - bitstamp/BTCUSD,20,-0.0023429365767921543
82,binance-futures/BTCUSDT - ftx/BTC-PERP,-20,0.006232848246883766
83,binance-futures/BTCUSDT - ftx/BTC-PERP,-19,-0.008505400508701522
84,binance-futures/BTCUSDT - ftx/BTC-PERP,-18,-0.006874928719468087
85,binance-futures/BTCUSDT - ftx/BTC-PERP,-17,0.00395204065016734
86,binance-futures/BTCUSDT - ftx/BTC-PERP,-16,0.007799206023095065
87,binance-futures/BTCUSDT - ftx/BTC-PERP,-15,0.023895100741897653
88,binance-futures/BTCUSDT - ftx/BTC-PERP,-14,-0.01039092923670973
89,binance-futures/BTCUSDT - ftx/BTC-PERP,-13,-0.025400221081914746
90,binance-futures/BTCUSDT - ftx/BTC-PERP,-12,0.013759108253360958
91,binance-futures/BTCUSDT - ftx/BTC-PERP,-11,0.005826743368042345
92,binance-futures/BTCUSDT - ftx/BTC-PERP,-10,-0.0011863577213167386
93,binance-futures/BTCUSDT - ftx/BTC-PERP,-9,-0.030702090403620572
