,market_comparison,Shift,Correlation
69,binance-futures/FTTUSDT - bitstamp/FTTUSD,8,-0.02446682941390741
70,binance-futures/FTTUSDT - bitstamp/FTTUSD,9,0.06539546575861224
71,binance-futures/FTTUSDT - bitstamp/FTTUSD,10,0.018283347441557508
72,binance-futures/FTTUSDT - bitstamp/FTTUSD,11,0.00024557875309508004
73,binance-futures/FTTUSDT - bitstamp/FTTUSD,12,-0.023033117109167424
74,binance-futures/FTTUSDT - bitstamp/FTTUSD,13,-0.0732487401406299
75,binance-futures/FTTUSDT - bitstamp/FTTUSD,14,0.09150960824615047
76,binance-futures/FTTUSDT - bitstamp/FTTUSD,15,-0.01715682009997554
77,binance-futures/FTTUSDT - bitstamp/FTTUSD,16,-0.004032215207903647
78,binance-futures/FTTUSDT - bitstamp/FTTUSD,17,0.04683363605613
79,binance-futures/FTTUSDT - bitstamp/FTTUSD,18,-0.04658290460235847
80,binance-futures/FTTUSDT - bitstamp/FTTUSD,19,0.03360226888348435
81,binance-futures/FTTUSDT - bitstamp/FTTUSD,20,-0.04522693497185296
82,binance-futures/FTTUSDT - ftx/FTT-PERP,-20,0.004204156514508631
83,binance-futures/FTTUSDT - ftx/FTT-PERP,-19,-0.02614288727349433
84,binance-futures/FTTUSDT - ftx/FTT-PERP,-18,-0.01464737508550058
85,binance-futures/FTTUSDT - ftx/FTT-PERP,-17,0.005735872379361696
86,binance-futures/FTTUSDT - ftx/FTT-PERP,-16,0.0155666631222292
87,binance-futures/FTTUSDT - ftx/FTT-PERP,-15,0.01549771417159748
88,binance-futures/FTTUSDT - ftx/FTT-PERP,-14,-0.012184313750471704
89,binance-futures/FTTUSDT - ftx/FTT-PERP,-13,-0.007136120056159586
90,binance-futures/FTTUSDT - ftx/FTT-PERP,-12,0.013470161636764405
91,binance-futures/FTTUSDT - ftx/FTT-PERP,-11,0.02126982878234839
92,binance-futures/FTTUSDT - ftx/FTT-PERP,-10,0.029625131274652185
93,binance-futures/FTTUSDT - ftx/FTT-PERP,-9,-0.016559049443356004
94,binance-futures/FTTUSDT - ftx/FTT-PERP,-8,-0.03983816580927251
95,binance-futures/FTTUSDT - ftx/FTT-PERP,-7,0.00020537480142557667
96,binance-futures/FTTUSDT - ftx/FTT-PERP,-6,0.015049089275962428
97,binance-futures/FTTUSDT - ftx/FTT-PERP,-5,0.04210079426904307
98,binance-futures/FTTUSDT - ftx/FTT-PERP,-4,0.0090864248031165
99,binance-futures/FTTUSDT - ftx/FTT-PERP,-3,0.010054639544448856
100,binance-futures/FTTUSDT - ftx/FTT-PERP,-2,-0.015071426069833308
